task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9c/ccb68a	1151456	build_msa	CACHED	0	2024-10-30 17:44:12.166	4.5s	4.4s	264.4%	580.4 MB	6.7 GB	52.6 MB	1.2 MB
2	eb/83c286	1151918	build_msa_fragparent	CACHED	0	2024-10-30 17:44:16.664	55.7s	55.6s	20.9%	577.9 MB	6.7 GB	53.8 MB	2.8 MB
3	8d/d40645	1153136	process_msa	CACHED	0	2024-10-30 17:45:12.415	536ms	463ms	2455.2%	24.1 MB	2.5 GB	261.2 MB	182.2 MB
39	d2/aa5565	1501305	colabfold (36)	CACHED	0	2024-10-30 18:56:33.169	30m 29s	30m 29s	106.8%	9.1 GB	245.4 GB	2.2 GB	39.1 MB
37	47/9dce86	1153747	colabfold (34)	CACHED	0	2024-10-30 17:45:13.083	31m 32s	31m 31s	106.4%	9 GB	245 GB	2.2 GB	38 MB
49	72/f2ef5f	1890375	colabfold (46)	CACHED	0	2024-10-30 19:40:09.945	28m 32s	28m 32s	109.2%	8.9 GB	245.1 GB	2.2 GB	38.8 MB
59	a4/10e9dc	1501332	colabfold (56)	CACHED	0	2024-10-30 18:56:33.182	28m 11s	28m 10s	107.1%	9 GB	245.1 GB	2.2 GB	37.7 MB
51	d5/9f4fa9	1729111	colabfold (48)	CACHED	0	2024-10-30 19:25:24.102	27m 38s	27m 38s	109.8%	8.9 GB	245.2 GB	2.2 GB	38.8 MB
60	d6/3c6028	1501612	colabfold (57)	CACHED	0	2024-10-30 18:56:33.247	29m 26s	29m 26s	107.1%	9 GB	244.5 GB	2.2 GB	38.9 MB
30	1e/6affb8	1746638	colabfold (27)	CACHED	0	2024-10-30 19:26:13.672	30m 57s	30m 57s	108.3%	9.2 GB	244.8 GB	2.2 GB	39.1 MB
55	85/5564f8	1929327	colabfold (52)	CACHED	0	2024-10-30 19:53:01.756	27m 49s	27m 49s	108.9%	8.9 GB	245.2 GB	2.2 GB	37.6 MB
54	29/cdcdef	1501559	colabfold (51)	CACHED	0	2024-10-30 18:56:33.241	28m 51s	28m 51s	107.2%	8.9 GB	243.6 GB	2.2 GB	38.7 MB
53	2c/855371	1883119	colabfold (50)	CACHED	0	2024-10-30 19:38:19.942	27m 35s	27m 35s	109.1%	9.1 GB	245.2 GB	2.2 GB	38.8 MB
32	c4/495147	1952802	colabfold (29)	CACHED	0	2024-10-30 19:55:49.608	31m 2s	31m 1s	108.6%	9.2 GB	245.4 GB	2.2 GB	40 MB
47	4b/ab4ce8	1501840	colabfold (44)	CACHED	0	2024-10-30 18:56:33.273	29m 39s	29m 39s	107.1%	9.1 GB	245.4 GB	2.2 GB	38.9 MB
43	f9/ec6465	1501712	colabfold (40)	CACHED	0	2024-10-30 18:56:33.257	28m 52s	28m 52s	106.6%	9.1 GB	245.3 GB	2.2 GB	37.5 MB
45	79/3506e6	1501384	colabfold (42)	CACHED	0	2024-10-30 18:56:33.206	29m 58s	29m 57s	107.2%	9 GB	245.2 GB	2.2 GB	39.7 MB
56	4d/4e0c95	1772412	colabfold (53)	CACHED	0	2024-10-30 19:27:47.598	27m 51s	27m 50s	109.1%	9 GB	245 GB	2.2 GB	37.2 MB
38	93/0287c5	1502429	colabfold (35)	CACHED	0	2024-10-30 18:56:33.327	29m 29s	29m 28s	107.1%	9.1 GB	245.3 GB	2.2 GB	39 MB
10	60/ce19c7	1961286	colabfold (7)	CACHED	0	2024-10-30 19:56:21.982	29m 3s	29m 3s	108.7%	9 GB	245.4 GB	2.2 GB	39 MB
6	d4/47adae	1502594	colabfold (3)	CACHED	0	2024-10-30 18:56:33.337	29m 40s	29m 40s	106.9%	8.9 GB	245.1 GB	2.2 GB	37.7 MB
4	6f/d2aded	1153626	colabfold (1)	CACHED	0	2024-10-30 17:45:13.068	29m 38s	29m 38s	107.0%	9 GB	245.1 GB	2.2 GB	38.7 MB
31	66/94dc82	1501650	colabfold (28)	CACHED	0	2024-10-30 18:56:33.252	31m 30s	31m 30s	106.6%	9.4 GB	244.1 GB	2.2 GB	39.2 MB
64	5f/e1f5c5	1775720	colabfold (61)	CACHED	0	2024-10-30 19:27:59.706	28m 22s	28m 22s	109.2%	9 GB	244.4 GB	2.2 GB	38.8 MB
58	c8/e010c5	1501318	colabfold (55)	CACHED	0	2024-10-30 18:56:33.177	28m 54s	28m 54s	107.2%	9 GB	243.7 GB	2.2 GB	38.7 MB
12	ed/02c277	1153482	colabfold (9)	CACHED	0	2024-10-30 17:45:13.033	31m 19s	31m 19s	106.7%	9.1 GB	245.4 GB	2.2 GB	39.1 MB
62	ff/eda22e	1775070	colabfold (59)	CACHED	0	2024-10-30 19:27:57.485	27m 52s	27m 52s	109.7%	8.9 GB	245 GB	2.2 GB	38.8 MB
18	f0/6e83ca	1153844	colabfold (15)	CACHED	0	2024-10-30 17:45:13.092	32m 13s	32m 13s	106.2%	9.1 GB	244.9 GB	2.2 GB	37.7 MB
63	08/ed5cfd	1787107	colabfold (60)	CACHED	0	2024-10-30 19:28:27.062	28m 15s	28m 15s	109.3%	9.1 GB	245.5 GB	2.2 GB	38.6 MB
11	da/ff53f5	1153527	colabfold (8)	CACHED	0	2024-10-30 17:45:13.046	30m 49s	30m 49s	106.4%	9.1 GB	244.9 GB	2.2 GB	37.8 MB
44	53/2cedad	1933274	colabfold (41)	CACHED	0	2024-10-30 19:53:31.857	29m 34s	29m 34s	108.7%	9.1 GB	244.3 GB	2.2 GB	37.8 MB
